a (letter)	/ˈeɪ/
ashamed	/əˈʃeɪmd/
ashore	/əˈʃor/
ashtray	/ˈæʃˌtreɪ/
Asian	/ˈeɪƷən, -ʃən/
aside	/əˈsaɪd/
ask	/ˈæsk/
askance	/əˈskæns/
askew	/əˈskjuː/
asleep	/əˈsliːp/
asparagus	/əˈspærəgəs/
aspect	/ˈæˌspεkt/
asphalt	/ˈæsˌfɔlt/
asphyxiate	/æˈsfɪksiˌeɪt/
asphyxiation	/æˌsfɪksiˈeɪʃən/
aspire	/əˈspaɪr/
aspiration	/ˌæspəˈreɪʃən/
aspirin	/ˈæsprən, ˈæspə-/
ass	/ˈæs/
assail	/əˈseɪl/
assailant	/əˈseɪlənt/
assassin	/əˈsæsən/
assassinate	/əˈsæsənˌeɪt/
assassination	/əˌsæsənˈeɪʃən/
assault	/əˈsɔlt/
assemble	/əˈsεmbəl/
assembly	/əˈsεmbli/
assent	/əˈsεnt/
assert	/əˈsɝt/
assertion	/əˈsɝʃən/
assertive	/əˈsɝt̬ɪv/
assess	/əˈsεs/
assessment	/əˈsεsmənt/
asset	/ˈæˌsεt/
assiduous	/əˈsɪdƷʊəs/
assign	/əˈsaɪn/
assignment	/əˈsaɪnmənt/
assimilate	/əˈsɪməˌleɪt/
assist	/əˈsɪst/
assistance	/əˈsɪstəns/
assistant	/əˈsɪstənt/
associate	/əˈsoːʃiˌeɪt, -si-/
~	/əˈsoːʃiət, -siət/
association	/əˌsoːʃiˈeɪʃən, -si-/
assorted	/əˈsɔrt̬əd/
assortment	/əˈsɔrtmənt/
assume	/əˈsuːm/
assumption	/əˈsʌmpʃən/
assure	/əˈʃʊr/
assurance	/əˈʃʊrəns/
asterisk	/ˈæstəˌrɪsk/
asthma	/ˈæzmə/
astonish	/əˈstɑnɪʃ/
astonishing	/əˈstɑnɪʃɪŋ/
astonishment	/əˈstɑnɪʃmənt/
astound	/əˈstaʊnd/
astounding	/əˈstaʊndɪŋ/
astray	/əˈstreɪ/
astrology	/əˈstrɑlədƷi/
astronaut	/ˈæstrəˌnɔt/
astronomy	/əˈstrɑnəmi/
astronomer	/əˈstrɑnəmɚ/
astronomical	/ˌæstrəˈnɑmɪkəl/
astute	/əˈstuːt, -ˈstjuːt/
astuteness	/əˈstuːtnəs, -ˈstjuːt-/
asylum	/əˈsaɪləm/
at	/ˈæt/
atheist	/ˈeɪθiɪst/
athlete	/ˈæθˌliːt/
athletic	/æθˈlεt̬ɪk/
athletics	/æθˈlεt̬ɪks/
atlas	/ˈætləs/
atmosphere	/ˈætməˌsfɪr/
atmospheric	/ˌætməˈsfɪrɪk, -ˈsfεr-/
atom	/ˈæt̬əm/
atomic	/əˈtɑmɪk/
atomizer	/ˈæt̬əˌmaɪzɚ/
atone	/əˈtoːn/
atrocity	/əˈtrɑsət̬i/
atrocious	/əˈtroːʃəs/
atrophy	/ˈætrəfi/
attach	/əˈtætʃ/
attachment	/əˈtætʃmənt/
attack	/əˈtæk/
attacker	/əˈtækɚ/
attain	/əˈteɪn/
attainment	/əˈteɪnmənt/
attempt	/əˈtεmpt/
attend	/əˈtεnd/
attendance	/əˈtεndəns/
attention	/əˈtεnʃən/
attentive	/əˈtεntɪv/
attest	/əˈtεst/
attic	/ˈæt̬ɪk/
attire	/əˈtaɪr/
attitude	/ˈæt̬əˌtuːd, -ˌtjuːd/
attorney	/əˈtɝni/
attract	/əˈtrækt/
attraction	/əˈtrækʃən/
attractive	/əˈtræktɪv/
attribute	/ˈætrəˌbjuːt/
~	/əˈtrɪˌbjuːt/
auburn	/ˈɔbɚn/
auction	/ˈɔkʃən/
audacious	/ɔˈdeɪʃəs/
audacity	/ɔˈdæsət̬i/
audible	/ˈɔdəbəl/
audience	/ˈɔdiəns/
audiovisual	/ˌɔdioˈvɪƷʊəl/
audition	/ɔˈdɪʃən/
auditor	/ˈɔdət̬ɚ/
auditorium	/ˌɔdəˈtoriəm/
auditoria	/-riə/
augment	/ɔgˈmεnt/
augur	/ˈɔgɚ/
August	/ˈɔgəst/
aunt	/ˈænt, ˈant/
aura	/ˈɔrə/
auspices	/ˈɔspəsəz, -ˌsiːz/
auspicious	/ɔˈspɪʃəs/
austere	/ɔˈstɪr/
austerity	/ɔˈstεrət̬i/
Australian	/ɔˈstreɪljən/
authentic	/əˈθεntɪk, ɔ-/
author	/ˈɔθɚ/
authority	/əˈθɔrət̬i, ɔ-/
authoritarian	/ɔˌθɔrəˈtεəriən, ə-/
authoritative	/əˈθɔrəˌteɪt̬ɪv, ɔ-/
authorization	/ˌɔθɚəˈzeɪʃən/
authorize	/ˈɔθəˌraɪz/
autobiography	/ˌɔt̬obaɪˈɑgrəfi/
autobiographical	/ˌɔt̬oˌbaɪəˈgræfɪkəl/
autograph	/ˈɔt̬əˌgræf/
automatic	/ˌɔt̬əˈmæt̬ɪk/
automate	/ˈɔt̬əˌmeɪt/
automation	/ˌɔt̬əˈmeɪʃən/
automobile	/ˌɔt̬əmoˈbiːl, -ˈmoːˌbiːl/
autonomy	/ɔˈtɑnəmi/
autonomous	/ɔˈtɑnəməs/
autopsy	/ˈɔˌtɑpsi, ˈɔtəpsi/
autumn	/ˈɔt̬əm/
auxiliary	/ɔgˈzɪljɚi, ɔgˈzɪlɚi/
avail	/əˈveɪl/
available	/əˈveɪləbəl/
availability	/əˌveɪləˈbɪlət̬i/
avalanche	/ˈævəˌlæntʃ/
avarice	/ˈævɚəs/
avenge	/əˈvεndƷ/
avenue	/ˈævəˌnuː, ˈævəˌnjuː/
average	/ˈævrɪdƷ, ˈævərɪdƷ/
averse	/əˈvɝs/
aversion	/əˈvɝƷən/
avert	/əˈvɝt/
aviation	/ˌeɪviˈeɪʃən/
aviator	/ˈeɪviˌeɪt̬ɚ/
avid	/ˈævɪd/
avocado	/ˌævəˈkɑdo, ˌɑvəˈkɑdo/
avoid	/əˈvɔɪd/
avoidable	/əˈvɔɪdəbəl/
await	/əˈweɪt/
awake	/əˈweɪk/
awoke	/əˈwoːk/
awoken	/əˈwoːkən/
awaken	/əˈweɪkən/
award	/əˈwɔrd/
aware	/əˈwεər/
awareness	/əˈwεərnəs/
away	/əˈweɪ/
awe	/ˈɔ/
awesome	/ˈɔsəm/
awful	/ˈɔfəl/
awfully	/ˈɔfəli/
awhile	/əˈhwaɪl/
awkward	/ˈɔkwɚd/
awning	/ˈɔnɪŋ/
awry	/əˈraɪ/
axe	/ˈæks/
axiom	/ˈæksiəm/
axis	/ˈæksɪs/
axes	/ˈækˌsiːz/
axle	/ˈæksəl/
b	/ˈbiː/
bs	/ˈbiːz/
babble	/ˈbæbəl/
baboon	/bæˈbuːn/
baby	/ˈbeɪbi/
babyish	/ˈbeɪbiɪʃ/
baby–sit	/ˈbeɪbiˌsɪt/
baby-sat	/ˈbeɪbiˌsæt/
bachelor	/ˈbætʃəlɚ/
back	/ˈbæk/
backache	/ˈbækˌeɪk/
backbone	/ˈbækˌboːn/
backfire	/ˈbækˌfaɪr/
background	/ˈbækˌgraʊnd/
backhand	/ˈbækˌhænd/
backhanded	/ˈbækˌhændəd/
backing	/ˈbækɪŋ/
backlash	/ˈbækˌlæʃ/
backlog	/ˈbækˌlɔg/
backpack	/ˈbækˌpæk/
backstage	/ˌbækˈsteɪdƷ, ˈbækˌsteɪdƷ/
backtrack	/ˈbækˌtræk/
backup	/ˈbækˌʌp/
backward	/ˈbækwɚd/
backwards	/ˈbækwɚdz/
bacon	/ˈbeɪkən/
bacteria	/bækˈtɪriə/
bad	/ˈbæd/
worse	/ˈwɝs/
worst	/ˈwɝst/
badge	/ˈbædƷ/
badger	/ˈbædƷɚ/
badly	/ˈbædli/
baffle	/ˈbæfəl/
bag	/ˈbæg/
baggage	/ˈbægɪdƷ/
baggy	/ˈbægi/
bail	/ˈbeɪl/
bailiff	/ˈbeɪləf/
bait	/ˈbeɪt/
bake	/ˈbeɪk/
baker	/ˈbeɪkɚ/
bakery	/ˈbeɪkɚi/
balance	/ˈbæləns/
balcony	/ˈbælkəni/
bald	/ˈbɔld/
baleful	/ˈbeɪlfəl/
balk	/ˈbɔk/
ball	/ˈbɔl/
ballad	/ˈbæləd/
ballerina	/ˌbæləˈriːnə/
ballet	/bæˈleɪ, ˈbæˌleɪ/
ballistic	/bəˈlɪstɪk/
pen	/ˈbɔlˌpɔɪnt/
ballroom	/ˈbɔlˌruːm, ˈbɔlˌrʊm/
balm	/ˈbɑm, ˈbɑlm/
balmy	/ˈbɑmi, ˈbɑlmi/
baloney	/bəˈloːni/
bamboo	/bæmˈbuː/
bamboozle	/bæmˈbuːzəl/
ban	/ˈbæn/
banal	/bəˈnɑl, bəˈnæl, ˈbeɪnəl/
banana	/bəˈnænə/
band	/ˈbænd/
bandage	/ˈbændɪdƷ/
bandit	/ˈbændət/
bandy	/ˈbændi/
bang	/ˈbæŋ/
bangle	/ˈbæŋgəl/
bangs	/ˈbæŋz/
banish	/ˈbænɪʃ/
banister	/ˈbænəstɚ/
bank	/ˈbæŋk/
banker	/ˈbæŋkɚ/
banking	/ˈbæŋkɪŋ/
bankrupt	/ˈbæŋˌkrʌpt/
bankruptcy	/ˈbæŋˌkrʌptsi/
banner	/ˈbænɚ/
banquet	/ˈbæŋkwət/
banter	/ˈbæntɚ/
baptize	/bæpˈtaɪz, ˈbæpˌtaɪz/
baptism	/ˈbæpˌtɪzəm/
bar	/ˈbɑr/
barbarian	/bɑrˈbεəriən/
barbecue	/ˈbɑrbɪˌkjuː/
barbed wire	/ˈbɑrbdˈwaɪr/
barber	/ˈbɑrbɚ/
bare	/ˈbεər/
barefaced	/ˈbεərˌfeɪst/
barefoot	/ˈbεərˌfʊt/
barefooted	/ˈbεərˌfʊt̬əd/
barely	/ˈbεərli/
bargain	/ˈbɑrgən/
barge	/ˈbɑrdƷ/
baritone	/ˈbærəˌtoːn/
bark 1	/ˈbɑrk/
barley	/ˈbɑrli/
barn	/ˈbɑrn/
barnyard	/ˈbɑrnˌjɑrd/
barometer	/bəˈrɑmət̬ɚ/
baron	/ˈbærən/
baroness	/ˈbærənɪs, ˈbærənəs, ˈbærəˌnεs/
barracks	/ˈbærəks/
barrage	/bəˈrɑƷ, bəˈrɑdƷ/
barrel	/ˈbærəl/
barren	/ˈbærən/
barricade	/ˈbærəˌkeɪd, ˌbærəˈkeɪd/
barrier	/ˈbæriɚ/
barring	/ˈbɑrɪŋ/
barrio	/ˈbɑrio, ˈbærio/
bartender	/ˈbɑrˌtεndɚ/
barter	/ˈbɑrt̬ɚ/
base	/ˈbeɪs/
baseball	/ˈbeɪsˌbɔl/
basement	/ˈbeɪsmənt/
bash	/ˈbæʃ/
bashful	/ˈbæʃfəl/
basic	/ˈbeɪsɪk/
basically	/ˈbeɪsɪkli/
basil	/ˈbeɪzəl, ˈbæzəl/
basin	/ˈbeɪsən/
basis	/ˈbeɪsəs/
bases	/ˈbeɪˌsiːz/
bask	/ˈbæsk/
basket	/ˈbæskət/
basketball	/ˈbæskətˌbɔl/
bass 1	/ˈbæs/
bass 2	/ˈbeɪs/
bassoon	/bəˈsuːn, bæˈsuːn/
bastard	/ˈbæstɚd/
baste	/ˈbeɪst/
bat 1	/ˈbæt/
batch	/ˈbætʃ/
bath	/ˈbæθ, ˈbaθ/
baths	/ˈbæðz, ˈbæθs, ˈbaðz, ˈbaθs/
bathe	/ˈbeɪð/
bathrobe	/ˈbæθˌroːb/
bathroom	/ˈbæθˌruːm, ˈbæθˌrʊm/
bathtub	/ˈbæθˌtʌb/
baton	/bəˈtɑn/
battalion	/bəˈtæljən/
batter	/ˈbæt̬ɚ/
battery	/ˈbæt̬ɚi/
battle	/ˈbæt̬əl/
battlefield	/ˈbæt̬əlˌfiːld/
battleship	/ˈbæt̬əlˌʃɪp/
bawl	/ˈbɔl/
bay 1	/ˈbeɪ/
bayonet	/ˌbeɪəˈnεt, ˈbeɪəˌnεt/
bazaar	/bəˈzɑr/
be	/ˈbiː/
been	/ˈbɪn/
being; am	/ˈæm/
beach	/ˈbiːtʃ/
beacon	/ˈbiːkən/
bead	/ˈbiːd/
beak	/ˈbiːk/
beam	/ˈbiːm/
bean	/ˈbiːn/
bear 1	/ˈbεər/
bore	/ˈbor/
borne	/ˈbɔrn/
bearable	/ˈbεərəbəl/
beard	/ˈbɪrd/
bearer	/ˈbεərɚ/
bearing	/ˈbεərɪŋ/
beast	/ˈbiːst/
beat	/ˈbiːt/
beat; beaten	/ˈbiːtən/
beating	/ˈbiːtɪŋ/
beauty	/ˈbjuːt̬i/
beautiful	/ˈbjuːt̬ɪfəl/
beautifully	/ˈbjuːt̬ɪfəli/
beautify	/ˈbjuːt̬ɪˌfaɪ/
beaver	/ˈbiːvɚ/
because	/bɪˈkʌz, bɪˈkɔz/
beckon	/ˈbεkən/
become	/bɪˈkʌm/
became	/bɪˈkeɪm/
becoming	/bɪˈkʌmɪŋ/
bed	/ˈbεd/
bedclothes	/ˈbεdˌkloːz, ˈbεdˌkloːðz/
bedlam	/ˈbεdləm/
bedraggled	/bɪˈdrægəld/
bedridden	/ˈbεdˌrɪdən/
bedroom	/ˈbεdˌruːm, -ˌrʊm/
bedspread	/ˈbεdˌsprεd/
bedtime	/ˈbεdˌtaɪm/
bee	/ˈbiː/
beech	/ˈbiːtʃ/
beef	/ˈbiːf/
beefsteak	/ˈbiːfˌsteɪk/
beehive	/ˈbiːˌhaɪv/
beeline	/ˈbiːˌlaɪn/
beep	/ˈbiːp/
beer	/ˈbɪr/
beet	/ˈbiːt/
beetle	/ˈbiːt̬əl/
before	/bɪˈfor/
beforehand	/bɪˈforˌhænd/
befriend	/bɪˈfrεnd/
beg	/ˈbεg/
beggar	/ˈbεgɚ/
begin	/bɪˈgɪn/
gan	/-ˈgæn/
gun	/-ˈgʌn/
beginner	/bɪˈgɪnɚ/
beginning	/bɪˈgɪnɪŋ/
begrudge	/bɪˈgrʌdƷ/
behalf	/bɪˈhæf, -ˈhaf/
behave	/bɪˈheɪv/
behavior	/bɪˈheɪvjɚ/
behind	/bɪˈhaɪnd/
behold	/bɪˈhoːld/
beige	/ˈbeɪƷ/
being	/ˈbiːɪŋ/
belated	/bɪˈleɪt̬əd/
belch	/ˈbεltʃ/
Belgian	/ˈbεldƷən/
belie	/bɪˈlaɪ/
belief	/bəˈliːf/
believable	/bəˈliːvəbəl/
believe	/bəˈliːv/
believer	/bəˈliːvɚ/
belittle	/bɪˈlɪt̬əl/
Belizean	/bəˈliːziən/
bell	/ˈbεl/
belligerent	/bəˈlɪdƷɚənt/
bellow	/ˈbεˌloː/
bellows	/ˈbεˌloːz/
belly	/ˈbεli/
belong	/bɪˈlɔŋ/
belongings	/bɪˈlɔŋɪŋz/
beloved	/bɪˈlʌvəd, -ˈlʌvd/
below	/bɪˈloː/
belt	/ˈbεlt/
bench	/ˈbεntʃ/
bend	/ˈbεnd/
bent	/ˈbεnt/
beneath	/bɪˈniːθ/
benediction	/ˌbεnəˈdɪkʃən/
benefactor	/ˈbεnəˌfæktɚ/
benefit	/ˈbεnəfɪt/
beneficial	/ˌbεnəˈfɪʃəl/
beneficiary	/ˌbεnəˈfɪʃiˌεri, -ˈfɪʃɚi/
benevolent	/bəˈnεvələnt/
benign	/bɪˈnaɪn/
bent	/ˈbεnt/
bequeath	/bɪˈkwiːθ, -ˈkwiːð/
bequest	/bɪˈkwεst/
berate	/bɪˈreɪt/
bereaved	/bɪˈriːvd/
beret	/bəˈreɪ/
berry	/ˈbεri/
berserk	/bɚˈsɝk, -ˈzɝk/
berth	/ˈbɝθ/
beseech	/bɪˈsiːtʃ/
bisought	/-ˈsɔt/
beset	/bɪˈsεt/
beside	/bɪˈsaɪd/
besides	/bɪˈsaɪdz/
besiege	/bɪˈsiːdƷ/
best	/ˈbεst/
bestow	/bɪˈstoː/
bet	/ˈbεt/
betray	/bɪˈtreɪ/
betrayal	/bɪˈtreɪəl/
better	/ˈbεt̬ɚ/
between	/bɪˈtwiːn/
beverage	/ˈbεvrɪdƷ, ˈbεvə-/
beware	/bɪˈwεər/
bewilder	/bɪˈwɪldɚ/
bewilderment	/bɪˈwɪldɚmənt/
bewitch	/bɪˈwɪtʃ/
beyond	/biˈjɑnd/
bias	/ˈbaɪəs/
biased	/ˈbaɪəst/
bib	/ˈbɪb/
Bible	/ˈbaɪbəl/
biblical	/ˈbɪblɪkəl/
bibliography	/ˌbɪbliˈɑgrəfi/
of soda	/ˌbaɪˈkɑrbənət, ˌneɪt/
biceps	/ˈbaɪˌsεps/
bicker	/ˈbɪkɚ/
bicycle	/ˈbaɪsɪkəl, -ˌsɪ-/
bid	/ˈbɪd/
bade	/ˈbæd, ˈbeɪd/
bid; bidden	/ˈbɪdən/
bide	/ˈbaɪd/
bode	/ˈboːd/
bifocals	/ˈbaɪˌfoːkəlz/
big	/ˈbɪg/
bigamy	/ˈbɪgəmi/
bigot	/ˈbɪgət/
bigotry	/ˈbɪgətri/
bike	/ˈbaɪk/
bikini	/bəˈkiːni/
bile	/ˈbaɪl/
bilingual	/baɪˈlɪŋgwəl/
bill	/ˈbɪl/
billboard	/ˈbɪlˌbɔrd/
billfold	/ˈbɪlˌfoːld/
billiards	/ˈbɪljɚdz/
billion	/ˈbɪljən/
billow	/ˈbɪlo/
goat	/ˈbɪliˌgoːt/
bin	/ˈbɪn/
binary	/ˈbaɪnɚi, -ˌnεri/
bind	/ˈbaɪnd/
bound	/ˈbaʊnd/
binder	/ˈbaɪndɚ/
binding	/ˈbaɪndɪŋ/
binge	/ˈbɪndƷ/
bingo	/ˈbɪŋˌgoː/
binoculars	/bəˈnɑkjəlɚz, baɪ-/
biochemistry	/ˌbaɪoˈkεmɪstri/
biography	/baɪˈɑgrəfi, biː-/
biographer	/baɪˈɑgrəfɚ/
biographical	/ˌbaɪəˈgræfɪkəl/
biology	/baɪˈɑlədƷi/
biological	/-dƷɪkəl/
biologist	/baɪˈɑlədƷɪst/
birch	/ˈbɝtʃ/
bird	/ˈbɝd/
birth	/ˈbɝθ/
birthday	/ˈbɝθˌdeɪ/
birthmark	/ˈbɝθˌmɑrk/
birthplace	/ˈbɝθˌpleɪs/
birthrate	/ˈbɝθˌreɪt/
biscuit	/ˈbɪskət/
bisect	/ˈbaɪˌsεkt, ˌbaɪˈ-/
bisexual	/ˌbaɪˈsεkʃəwəl, -ˈsεkʃəl/
bishop	/ˈbɪʃəp/
bison	/ˈbaɪzən, -sən/
bit 1	/ˈbɪt/
bitch	/ˈbɪtʃ/
bite	/ˈbaɪt/
bit	/ˈbɪt/
bitten	/ˈbɪtən/
bitter	/ˈbɪt̬ɚ/
bitterness	/ˈbɪt̬ɚnəs/
bizarre	/bəˈzɑr/
black	/ˈblæk/
black–and–blue	/ˌblækənˈbluː/
blackberry	/ˈblækˌbεri/
blackbird	/ˈblækˌbɝd/
blackboard	/ˈblækˌbɔrd/
blacken	/ˈblækən/
blackmail	/ˈblækˌmeɪl/
blackout	/ˈblækˌaʊt/
blacksmith	/ˈblækˌsmɪθ/
blacktop	/ˈblækˌtɑp/
bladder	/ˈblædɚ/
blade	/ˈbleɪd/
blame	/ˈbleɪm/
blameless	/ˈbleɪmləs/
bland	/ˈblænd/
blank	/ˈblæŋk/
blanket	/ˈblæŋkət/
blare	/ˈblεər/
blasphemy	/ˈblæsfəmi/
blast	/ˈblæst/
blast-off	/ˈblæstˌɔf/
blatant	/ˈbleɪtənt/
blaze	/ˈbleɪz/
blazer	/ˈbleɪzɚ/
bleach	/ˈbliːtʃ/
bleachers	/ˈbliːtʃɚz/
bleak	/ˈbliːk/
bleary–eyed	/ˈblɪriˌaɪd/
bleat	/ˈbliːt/
bleed	/ˈbliːd/
bled	/ˈblεd/
blemish	/ˈblεmɪʃ/
blend	/ˈblεnd/
blender	/ˈblεndɚ/
bless	/ˈblεs/
blessed	/ˈblεst/
blessed	/ˈblεsəd/
blest	/ˈblεst/
blessing	/ˈblεsɪŋ/
blind	/ˈblaɪnd/
blindfold	/ˈblaɪndˌfoːld/
blindly	/ˈblaɪndli/
blindness	/ˈblaɪndnəs/
blink	/ˈblɪŋk/
blinker	/ˈblɪŋkɚ/
bliss	/ˈblɪs/
blissful	/ˈblɪsfəl/
blister	/ˈblɪstɚ/
blitz	/ˈblɪts/
blizzard	/ˈblɪzɚd/
bloated	/ˈbloːt̬əd/
blob	/ˈblɑb/
block	/ˈblɑk/
blockade	/blɑˈkeɪd/
blockage	/ˈblɑkɪdƷ/
blonde	/ˈblɑnd/
blood	/ˈblʌd/
bloodhound	/ˈblʌdˌhaʊnd/
bloodshed	/ˈblʌdˌʃεd/
bloodshot	/ˈblʌdˌʃɑt/
bloodstained	/ˈblʌdˌsteɪnd/
bloodstream	/ˈblʌdˌstriːm/
bloody	/ˈblʌdi/
bloom	/ˈbluːm/
blossom	/ˈblɑsəm/
blot	/ˈblɑt/
blotch	/ˈblɑtʃ/
blotchy	/ˈblɑtʃi/
blouse	/ˈblaʊs, ˈblaʊz/
blow	/ˈbloː/
blew	/ˈbluː/
blown	/ˈbloːn/
blowout	/ˈbloːˌaʊt/
blubber	/ˈblʌbɚ/
bludgeon	/ˈblʌdƷən/
blue	/ˈbluː/
blueberry	/ˈbluːˌbεri/
bluebird	/ˈbluːˌbɝd/
blueprint	/ˈbluːˌprɪnt/
blues	/ˈbluːz/
bluff	/ˈblʌf/
blunder	/ˈblʌndɚ/
blunt	/ˈblʌnt/
blur	/ˈblɝ/
blurb	/ˈblɝb/
blurt	/ˈblɝt/
blush	/ˈblʌʃ/
blustery	/ˈblʌstəri/
boar	/ˈbor/
board	/ˈbord/
boarder	/ˈbordɚ/
boast	/ˈboːst/
boastful	/ˈboːstfəl/
boat	/ˈboːt/
bob	/ˈbɑb/
bobbin	/ˈbɑbən/
pin	/ˈbɑbiˌpɪn/
body	/ˈbɑdi/
bodyguard	/ˈbɑdiˌgɑrd/
bog	/ˈbɑg, ˈbɔg/
bogus	/ˈboːgəs/
boil	/ˈbɔɪl/
boiler	/ˈbɔɪlɚ/
bold	/ˈboːld/
boldness	/ˈboːldnəs/
Bolivian	/bəˈlɪviən/
bologna	/bəˈloːni/
bolster	/ˈboːlstɚ/
bolt	/ˈboːlt/
bomb	/ˈbɑm/
bombard	/bɑmˈbɑrd, bəm-/
bombardment	/bɑmˈbɑrdmənt/
bomber	/ˈbɑmɚ/
bond	/ˈbɑnd/
bondage	/ˈbɑndɪdƷ/
bone	/ˈboːn/
bonfire	/ˈbɑnˌfaɪr/
bonus	/ˈboːnəs/
bony	/ˈboːni/
boo	/ˈbuː/
book	/ˈbʊk/
bookcase	/ˈbʊkˌkeɪs/
bookkeeping	/ˈbʊkˌkiːpɪŋ/
booklet	/ˈbʊklət/
bookmark	/ˈbʊkˌmɑrk/
bookseller	/ˈbʊkˌsεlɚ/
bookshelf	/ˈbʊkˌʃεlf/
bookstore	/ˈbʊkˌstor/
boom	/ˈbuːm/
boon	/ˈbuːn/
boost	/ˈbuːst/
boot	/ˈbuːt/
booth	/ˈbuːθ/
booths	/ˈbuːðz, ˈbuːθs/
booty	/ˈbuːt̬i/
booze	/ˈbuːz/
border	/ˈbɔrdɚ/
bore 1	/ˈbor/
boredom	/ˈbordəm/
boring	/ˈborɪŋ/
born	/ˈbɔrn/
borough	/ˈbɝo/
borrow	/ˈbɑro/
Bosnian	/ˈbɑzniən, ˈbɔz-/
bosom	/ˈbʊzəm, ˈbuː-/
boss	/ˈbɔs/
bossy	/ˈbɔsi/
botany	/ˈbɑtəni/
botanical	/bəˈtænɪkəl/
botch	/ˈbɑtʃ/
both	/ˈboːθ/
bother	/ˈbɑðɚ/
bottle	/ˈbɑtəl/
bottleneck	/ˈbɑtəlˌnεk/
bottom	/ˈbɑt̬əm/
bottomless	/ˈbɑt̬əmləs/
bough	/ˈbaʊ/
bouillon	/ˈbuːˌjɑn; ˈbʊlˌjɑn, -jən/
boulder	/ˈboːldɚ/
boulevard	/ˈbʊləˌvɑrd, ˈbuː-/
bounce	/ˈbaʊns/
bound 1	/ˈbaʊnd/
boundary	/ˈbaʊndri, -dɚi/
boundless	/ˈbaʊndləs/
bouquet	/boːˈkeɪ, buː-/
bourgeois	/ˈbʊrƷˌwɑ, bʊrƷˈwɑ/
bout	/ˈbaʊt/
bow 1	/ˈbaʊ/
~	/ˈbaʊː/
bow 2	/ˈboː/
bow 3	/ˈbaʊ/
bowels	/ˈbaʊəls/
bowl 1	/ˈboːl/
bowling	/ˈboːlɪŋ/
box 1	/ˈbɑks/
boxer	/ˈbɑksɚ/
boxing	/ˈbɑksɪŋ/
boy	/ˈbɔɪ/
boycott	/ˈbɔɪˌkɑt/
boyfriend	/ˈbɔɪˌfrεnd/
bra	/ˈbrɑ/
brace	/ˈbreɪs/
bracelet	/ˈbreɪslət/
bracket	/ˈbrækət/
brag	/ˈbræg/
braid	/ˈbreɪd/
braille	/ˈbreɪl/
brain	/ˈbreɪn/
brainstorm	/ˈbreɪnˌstɔrm/
brainwash	/ˈbreɪnˌwɔʃ, -ˌwɑʃ/
brainy	/ˈbreɪni/
brake	/ˈbreɪk/
bramble	/ˈbræmbəl/
bran	/ˈbræn/
branch	/ˈbræntʃ/
brand	/ˈbrænd/
brandish	/ˈbrændɪʃ/
brandy	/ˈbrændi/
brand–new	/ˈbrændˈnuː, -ˈnjuː/
brass	/ˈbræs/
brassiere	/brəˈzɪr, brɑ-/
brat	/ˈbræt/
bravado	/brəˈvɑdo/
brave	/ˈbreɪv/
bravery	/ˈbreɪvɚi/
brawl	/ˈbrɔl/
brawn	/ˈbrɔn/
brawny	/ˈbrɔni/
bray	/ˈbreɪ/
brazen	/ˈbreɪzən/
Brazilian	/brəˈzɪljən/
breach	/ˈbriːtʃ/
bread	/ˈbrεd/
breadth	/ˈbrεtθ/
break	/ˈbreɪk/
broke	/ˈbroːk/
broken	/ˈbroːkən/
breakable	/ˈbreɪkəbəl/
breakdown	/ˈbreɪkˌdaʊn/
breakfast	/ˈbrεkfəst/
breast	/ˈbrεst/
breast–feed	/ˈbrεstˌfiːd/
fed	/-ˌfεd/
breath	/ˈbrεθ/
breathe	/ˈbriːð/
breathless	/ˈbrεθləs/
breathtaking	/ˈbrεθˌteɪkɪŋ/
breed	/ˈbriːd/
bred	/ˈbrεd/
breeze	/ˈbriːz/
breezy	/ˈbriːzi/
brevity	/ˈbrεvət̬i/
brew	/ˈbruː/
brewery	/ˈbruːɚi, ˈbrʊri/
bribe	/ˈbraɪb/
bribery	/ˈbraɪbɚi/
brick	/ˈbrɪk/
bricklayer	/ˈbrɪkˌleɪɚ/
bride	/ˈbraɪd/
bridal	/ˈbraɪdəl/
bridegroom	/ˈbraɪdˌgruːm/
bridesmaid	/ˈbraɪdzˌmeɪd/
bridge	/ˈbrɪdƷ/
bridle	/ˈbraɪdəl/
brief	/ˈbriːf/
briefcase	/ˈbriːfˌkeɪs/
briefly	/ˈbriːfli/
bright	/ˈbraɪt/
brighten	/ˈbraɪtən/
brilliant	/ˈbrɪljənt/
brilliance	/ˈbrɪljəns/
brim	/ˈbrɪm/
brine	/ˈbraɪn/
bring	/ˈbrɪŋ/
brought	/ˈbrɔt/
brink	/ˈbrɪŋk/
brisk	/ˈbrɪsk/
bristle	/ˈbrɪsəl/
British	/ˈbrɪt̬ɪʃ/
brittle	/ˈbrɪtəl/
broach	/ˈbroːtʃ/
broad	/ˈbrɔd/
broadcast	/ˈbrɔdˌkæst/
broaden	/ˈbrɔdən/
broadly	/ˈbrɔdli/
broad–minded	/ˈbrɔdˈmaɪndəd/
broccoli	/ˈbrɑkəli/
brochure	/broˈʃʊr/
broil	/ˈbrɔɪl/
broke	/ˈbroːk/
broken	/ˈbroːkən/
brokenhearted	/ˌbroːkənˈhɑrt̬əd/
broker	/ˈbroːkɚ/
